id,lecturer_id,lecturer_name,title,year,venue
1,2,Siti Sari,Database Systems based on CNN in Healthcare,2023,Elsevier
2,4,Taufik Rahmawati,IoT using Support Vector Machine in Smart City,2023,IEEE Conference
3,12,Hana Saputra,Information Retrieval based on CNN in E-commerce,2012,IEEE Conference
4,10,Gilang Rahmawati,Natural Language Processing using Support Vector Machine for Finance,2020,ICoDSE
5,8,Gilang Sari,Machine Learning with Blockchain Integration for Finance,2023,ICITEE
6,6,Laksana Santoso,Information Retrieval using Genetic Algorithm for Finance,2019,ICoDSE
7,17,Omar Kusuma,Cloud Computing using Regression Models in Healthcare,2024,ICoICT
8,12,Hana Saputra,Big Data with IoT Sensors in E-commerce,2017,Elsevier
9,10,Gilang Rahmawati,Data Mining using Support Vector Machine for Transportation,2013,IEEE Conference
10,6,Laksana Santoso,Artificial Intelligence based on CNN for Transportation,2017,ICoDSE
11,17,Omar Kusuma,Cloud Computing using Regression Models in Healthcare,2023,Indonesian ICT Conference
12,2,Siti Sari,Information Retrieval based on CNN in E-commerce,2013,ICoDSE
13,19,Indra Kusuma,Software Engineering based on Edge Computing for Transportation,2021,Springer Journal
14,8,Gilang Sari,Natural Language Processing using TF-IDF for Finance,2024,Elsevier
15,16,Eko Pratama,Natural Language Processing using Support Vector Machine for Education,2018,Elsevier
16,7,Dewi Hidayat,Sentiment Analysis based on Edge Computing for Transportation,2014,Elsevier
17,3,Hana Kusuma,Blockchain using Support Vector Machine in Agriculture,2023,ICITEE
18,7,Dewi Hidayat,Database Systems based on CNN in Smart City,2020,ICITEE
19,3,Hana Kusuma,IoT with Random Forest for Social Media,2018,Elsevier
20,20,Laksana Pratama,Database Systems with IoT Sensors in Energy Management,2015,ICITEE
21,6,Laksana Santoso,Data Visualization using Regression Models in Healthcare,2015,ICoICT
22,4,Taufik Rahmawati,Deep Learning using Regression Models for Transportation,2018,Elsevier
23,8,Gilang Sari,Natural Language Processing using Support Vector Machine for Transportation,2015,ICITEE
24,9,Dewi Hidayat,Neural Networks using Genetic Algorithm for Social Media,2014,Elsevier
25,10,Gilang Rahmawati,Data Mining using Support Vector Machine in Energy Management,2020,Elsevier
